Item,Portion Size,Calcium (mg),Calories,Calories From Fat,Cholesterol (mg),Dietary Fiber (g),Iron (mg),Potassium (mg),Protein (g),Saturated Fat (g),Saturated Fat + Trans Fat (g),Sodium (mg),Sugar (g),Total Carbohydrates (g),Total Fat (g),Trans Fat (g),Vitamin A (RE),Vitamin C (mg),Vitamin D (IU)
 Diced Onions,1/4 cup,10,15,0,0,1,0.1,60,0,0,0,0,2,4,0,0,-,3,0
Broccoli,1/2 cup,40,30,0,0,2,0.7,290,3,0,0,65,2,6,0,0,-,81,0
Chopped Spinach,1/4 cup,10,0,0,0,0,0.2,40,0,0,0,5,0,0,0,0,-,2,0
Dark Brown Sugar,1 tbsp,10,50,0,0,0,0.1,20,0,0,0+,0,13,13,0,-,-,0,0
Diced Bacon,1 tbsp,0,45,30,10,0,0.1,50,3,1,0,160,0,0,3.5,0,-,0,0
Diced Tomatoes,1/4 cup,0,10,0,0,1,0.1,110,0,0,0,0,1,2,0,0,-,6,0
Egg Omelette,4 ounce,70,200,140,420,0,2.1,160,14,4,5,460,0+,1,15,0,-,0,90
Meatless Vegetarian Sausage Patty,1 each,0,70,20,0,1,1.6,100,9,0,0,250,1,4,2.5,0,0,0,0
Mushroom and Cheese Frittata,4 ounce,170,190,130,175,0,0.8,170,10,7,5+,180,2,3,15,-,0+,1,35+
Oatmeal,1 ladle-4oz,10,70,10,0,2,0.8,70,2,0,0+,135,0,13,1,-,0+,0,0
Pancakes,2 each,70,180,0,0,1,1.6,60,4,0+,0+,490,7,39,0,0,0+,0+,0
Pork Sausage Patty,2 each,0,360,300,50,0,0,-,10,12,10,630,0,2,34,0,-,-,-
Raisins,1 tbsp,10,25,0,0,0,0.2,70,0,0,0,0,6,7,0,0,-,0,0
Scrambled Eggs,1/2 cup,60,200,140,420,0,2,160,14,4,5,160,0,1,15,0,-,0,90
Shredded Cheddar Cheese,1 tbsp,50,30,20,5,0,0,10,2,1.5,0+,45,0,0,2.5,-,-,0,0
Sweet Potato Puffs,2-1/2 ounce,30,110,25,0,2,0.3,160,1,0,0,170,11,19,3,0,570,3,0
