Item,Portion Size,Calcium (mg),Calories,Calories From Fat,Cholesterol (mg),Dietary Fiber (g),Iron (mg),Potassium (mg),Protein (g),Saturated Fat (g),Saturated Fat + Trans Fat (g),Sodium (mg),Sugar (g),Total Carbohydrates (g),Total Fat (g),Trans Fat (g),Vitamin A (RE),Vitamin C (mg),Vitamin D (IU)
"10"" Flour Tortilla",1 each,80,200,50,0,1,2,50,6,3,5,400,1,34,6,0,-,-,0
Al Pastor,2 ounce,20+,220,50,95,1,1.9,660+,35,2,0,190,3+,6,6,0,0+,6+,15+
BBQ Ranch Dressing,1 floz,20,100,80,5,0,0.1,40+,1,1.5,0+,240,2,3,9,-,0+,0+,5
Baby Spinach,1 cup,30,5,0,0,1,0.8,170,1,0,0,25,0,1,0,0,-,8,0
Baby Spinach,1/4 cup,10,0,0,0,0,0.2,40,0,0,0,5,0,0,0,0,-,2,0
Baked Chicken,4 oz portion,20+,250,120,85,0+,1.5+,220+,27,3.5,5+,270,0+,3,14,-,-,0+,0+
Balsamic Vinaigrette Dressing,1 floz,-,60,45,0,0,0,0,0,0,0,190,4,5,4.5,0,-,-,0
Balsamic Vinegar,1 floz,10,25,0,-,-,0.2,30,0,0,0,5,4,5,0,0,0,0,-
Beef Hot Dog with Bun,1 each,40,340,210,45,1,2.2,220,12,9,10+,800,3,21,23,-,-,-,30
Blue Cheese Dressing,1 floz,0,160,140,15,0,0,0,0,3.5,5,270,1,1,16,0,-,-,-
Caesar Dressing,1 floz,0,150,150,0,0,0,0,1,2.5,5,280,0,1,16,0,-,-,-
Cheddar Cheese Slice,1 slice,100,60,40,15,0,0,10,3,2.5,5+,95,0,0,4.5,-,-,0,5
Cheese Pizza,1 slice,110,190,45,10,1,1.9,110,8,2,0,430,2,28,5,0,0+,1,0
Cherry Tomatoes,1 ounce,0,5,0,0,0,0.1,70,0,0,0,0,1,1,0,0,-,4,0
Chia Seeds,1 tsp,30,25,15,0,2,0.4,20,1,0,0,0,-,2,1.5,0,-,0,-
Chicken Parmesan Sub,1/2 each,190,270,80,50,2,2.2,340,24,4,5+,690,2,25,8,-,-,4+,5
Chicken Tortilla Soup,4 ounce,20,70,35,10,1,0.6,150+,4,0,0+,500,2+,6,4,-,0+,4+,0+
Chipotle Mayo,1 floz,0+,120,110,15,0,0.1,-,0,2,0,370,0,3,12,0,5+,0+,-
Chopped Broccoli ,1/4 cup,10,10,0,0,1,0.2,70,1,0,0,10,0,2,0,0,-,20,0
Chopped Hard Boiled Eggs,1/4 cup,20,50,30,125,0,0.4,40,4,1,0+,40,0,0,3.5,-,-,0,30
Cilantro Rice,1/2 cup,10,100,25,0,1,0.4,100,2,0,0,140,1,18,3,0,0+,2,0
Coconut Orange Tofu,9 oz portion,210,340,180,0,2,6.6,610,8,15,15+,430,30,37,19,-,-,114,0
"Crackers, Saltine, 2 CT, Zesta",1 each,0,25,0,0,0,0.2,0,1,0,0,90,0,5,0.5,0,-,-,0
Cream of Zucchini Soup,1 ladle-4oz,60,70,35,10,1,0.5,270,2,2,0,350,4+,7,4,0,0+,16+,0
Creamy Chickpea Salad,1/2 cup,40,200,110,0,5,1.9+,230+,6,1.5,0,370,4,20,12,0,5+,2+,0+
Crispy Tortilla Chips,3 oz portion,60,170,20,0,5,1,150,4,0,0+,115,1,35,2.5,-,-,0,0+
Croutons,1 ounce,10,80,0,0,1,1.1,30,2,0,0,360,0,16,0,0,0+,0,0
Crumbled Feta Cheese,1 tbsp,50,25,20,10,0,0.1,10,1,1,0+,105,0,0,2,-,-,0,0
Crushed Red Pepper,1 tsp,0,5,0,0,0,0.1,40,0,0,0+,0,0,1,0,-,-,1,0
Dijon Mustard,1 floz,20,30,15,0,1,-,-,1,0,0,630,1,2,1.5,0,15,0,-
Dill Pickle Slices,2 each,10,0,0,0,0,0,20,0,0,0,115,0,0,0,0,-,0,0
Dried Cranberries,1 tbsp,0,30,0,0,0,0,0,0,0,0,0,7,8,0,0,-,0,0
Dried Oregano,1 tsp,10,0,0,0,0,0.3,0,0,0,0,0,-,0,0,0,-,0,0
Egg Salad,1/3 cup,40,170,120,270,0,0.9,90+,9,3,5+,260,1+,3,13,-,0+,0+,60+
Everything Spiced Tofu,2 ounce,90,100,70,0,1,1,60+,5,0.5,0+,340,0,5,7,-,-,0+,0+
Extra Virgin Olive Oil,2 floz,0,480,490,0,0,0.3,0,0,7,5+,0,0,0,54,-,-,0,0
Fat Free Italian Dressing,1 floz,0,15,0,0,0,0,0,0,0,0,470,2,3,0,0,-,-,0
Fiesta Street Chicken Taco,1 serving(s),220,470,240,95,6,2.6,670+,23,8,10+,800,8,38,27,-,0+,28+,10+
French Fries,3 ounce,0,160,90,0,1,0,270,1,0,0+,20,0,18,10,0,-,0+,0
Garlic Herb Chickpeas,1/4 cup,20,90,25,0,3,1.3,120+,4,0,0,100,2,12,3,0,0+,1,0+
Giardiniera,2 tbsp,40,10,0,0,2,0,-,0,0,0,1100,2,6,0,0,40,1,-
Grated Parmesan Cheese,1 tsp,20,10,5,0,0,0,0,1,0,0,40,0,0,0.5,0,-,0,0
Greek Feta Dressing,1 floz,0,100,90,5,0,0,0,0,1.5,0,280,1,2,10,0,-,-,-
Grilled Corn,1 each,10,160,40,0,4,0.7,330,5,0,0,95,7,31,4.5,0,-,8,0
Grilled Ham & Cheese Sandwich,1 sandwich,560,640,360,125,2,3.9,310,23,23,25+,1610,7,47,41,-,-,0,130
Grilled Herbed Chicken,2 ounce,10,70,25,35,0,0.3,180,11,0,0,420,0,0,2.5,0,5+,0,0
Grilled Vegetables,1/2 cup,20,45,25,0,2,0.7,310,2,0,0,60,3,5,2.5,0,-,41,5
Harrissa Hummus,2 floz,20,130,60,0,4,4,30+,6,1,0,260,2,13,6,0,5,2,0+
Hawaiian Sweet Roll Slider,2 each,30,180,40,30,0,1.6,90,5,2.5,5,150,10,30,4.5,0,0,2,5
Herb Roasted Mushrooms,1/2 cup,10,70,45,0,1,0.7,370,4,0.5,0+,70,2+,4,5,-,-,3,10
Herbed Quinoa,1/2 cup,30,200,45,0,4,2.3,300,7,0,0+,170,0+,32,5,-,10+,5+,0
Hoagie Roll,1 each,60,200,25,0,2,1.9,80,6,0.5,0+,410,0,36,3,-,-,0,0
Honey Mustard Dressing,1 floz,0,160,130,10,0,0.1,0,0,2,0,135,7,7,14,0,0,0,0
Housemade Italian Dressing,1 floz,10,170,160,0+,0,0.3,10,0,2.5,0+,230,3+,3,18,-,-,1,0+
Julienne Yellow Onions,1/4 cup,10,10,0,0,0,0.1,40,0,0,0,0,1,3,0,0,-,2,0
Lemon Couscous,2 ounce,10,100,0,0,1,0.3,60,3,0,0+,160,0+,20,0,-,0+,3,0
Mangu - Mashed Plantains,4 ounce,10,220,60,5,3,0.8,680,2,2,0+,370,24,45,7,-,0+,26,0
Marinated Tofu,3 ounce,110,70,35,0+,2,1.2,80,7,0+,0+,25,0,2,4,-,0+,0+,0+
Mayonnaise,1 floz,0,190,190,10,0,0.1,0,0,3.5,5,150,0,0,21,0,0,0,5
Multigrain Bread,2 slice,40,280,35,0,24,2.9,-,8,0,0,440,8,52,4,0,0,0,-
"Mushrooms, Tomatoes and Spinach",1/2 cup,30,50,30,0,1,0.7,350,2,0,0+,95,2,5,3.5,-,-,10,0
Old Bay House Fried Potato Chips,2 ounce,10,160,120,0,1,0.3,150,1,1.5,0+,310,0,9,13,0,-,0+,0
Pepperoni Pizza,1 slice,110,210,60,10,1,2,120,9,2.5,5,480,2,28,6,0,0+,1,5
Pimento Cheese Macaroni Salad,1/2 cup,70,150,80,10,1,0.6+,50+,5,2.5,5+,200,1,13,9,-,0+,24,5+
Pollo Guisado,4 oz meat,30,210,120,80,2,1.4,390,15,3,5+,590,4+,7,14,-,0+,32,5
Potato Roll,1 each,120,170,20,0,4,1.4,450,8,0,0,240,6,30,2,0,-,0,0
Ranch Dressing,2 floz,40,220,210,15,0,0.1,50+,1,4,5+,440,2,2,23,-,0+,0,5
Red Wine Vinegar,1 floz,0,5,0,-,0,0.1,10,0,0,0,0,0,0,0,0,-,0,-
Red and Green Bell Peppers,1/4 cup,0,15,0,0,1,0.2,110,1,0,0,0,2,3,0,0,-,59,0
Roast Pork Loin,3 oz portion,0,120,60,40,0,0.5,340,15,3,5,310,0,1,6,0,0+,0,5
Roasted Carrots ,1/4 cup,20,40,15,0,2,0.2,200,1,0,0,90,3,6,1.5,0,-,4,0
Roasted Red Pepper Hummus ,2 ounce,20,110,70,0,3,1.2,160,4,1,0,220,1,7,8,0,-,19,0
Roasted Sunflower Seeds,1 tbsp,10,45,35,0,1,0.3,70,2,0,0+,0,0,2,4,-,-,0,0
Romaine Blend,1 cup,10,10,0,0,1,0.4,110,1,0,0,0,1,1,0,0,-,2,0
Rye Bread,2 slice,60,220,25,0,5,2.4,140,7,0.5,0+,510,3,41,3,-,-,0,0
Sesame Dressing,1 floz,0,110,80,0,0,0.1,20,0,1.5,0,290,6,6,9,0,-,-,0
Shredded Carrots,1 ounce,10,10,0,0,1,0.1,90,0,0,0,20,1,3,0,0,-,2,0
Shredded Carrots,1/4 cup,10,10,0,0,1,0.1,90,0,0,0,20,1,3,0,0,-,2,0
Shredded Cheddar Cheese,1 tbsp,50,30,20,5,0,0,10,2,1.5,0+,45,0,0,2.5,-,-,0,0
Shredded Iceberg Lettuce,1/4 cup,0,0,0,0,0,0.1,30,0,0,0,0,0,1,0,0,-,1,0
Sliced American Cheese,1 slice,150,50,40,15,0,0.1,20,3,2.5,5,240,0,1,4.5,0,-,0,45
Sliced American Swiss Cheese,1 slice,300,100,80,30,0,0.2,40,5,5,5,470,1,1,9,0,-,0,90
Sliced Cucumber,1 ounce,0,0,0,0,0,0.1,40,0,0,0,0,0,1,0,0,-,1,0
Sliced Green Bell Pepper,1/4 cup,0,0,0,0,0,0.1,40,0,0,0,0,1,1,0,0,-,18,0
Sliced Jalapeno Pepper,1 tbsp,0,0,0,0,0,0.3,30,0,0,0,250,0,1,0,0,-,2,0
Sliced Mushrooms,1/4 cup,0,0,0,0,0,0.1,60,1,0,0,0,0,1,0,0,-,0,0
Sliced Red Bell Pepper,2 tbsp,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,-,15,0
Sliced Red Onion,1 ounce,10,10,0,0,0,0.1,40,0,0,0,0,1,3,0,0,-,2,0
Sliced Red Onion,1 slice,0,5,0,0,0,0,20,0,0,0,0,1,1,0,0,-,1,0
Sliced Tomatoes,2 slice,0,0,0,0,0,0.1,60,0,0,0,0,1,1,0,0,-,4,0
Sourdough Bread,2 slice,10,160,5,0,1,2.1,50,5,0,0,370,0,32,0.5,0,0,0,0
Thinly Sliced Deli Turkey Breast,2 ounce,10,60,20,25,0,0.5,80,7,0.5,0,520,0,2,2.5,0,0,0,0
Thinly Sliced Smoked Ham,3 ounce,10,110,40,45,0,0.7,270,15,1.5,0,1000,1,1,4.5,0,-,0,25
White Pita Bread,1/2 each,50,80,0,0,1,1.1,30,3,0,0,130,1,16,0,0,-,-,5
Whole Wheat Bread,2 slice,0,140,10,0,4,0,0,8,0,0,300,0,26,1,0,-,-,0
Yellow Mustard,1 floz,20,20,10,0,1,0.5,50,1,0,0,340,0,2,1,0,-,0,0
